"","participant","language","item","repetition","vot"
"701","biling09","english","tug",2,42.15
"702","biling09","english","tug",3,10.92
"703","biling09","spanish","da",1,-54.81
"704","biling09","spanish","da",2,-43.77
"705","biling09","spanish","da",3,-56.61
"706","biling09","spanish","de",1,-72.92
"707","biling09","spanish","de",2,-57.55
"708","biling09","spanish","de",3,-54.15
"709","biling09","spanish","di",1,-59.42
"710","biling09","spanish","di",2,-71.76
"711","biling09","spanish","di",3,-46.78
"712","biling09","spanish","te",1,14.86
"713","biling09","spanish","te",2,29.85
"714","biling09","spanish","te",3,24.02
"715","biling09","spanish","ti",1,6.62
"716","biling09","spanish","ti",2,7.3
"717","biling09","spanish","ti",3,-3.07
"718","biling09","spanish","tu",1,11.07
"719","biling09","spanish","tu",2,6.44
"720","biling09","spanish","tu",3,13.06
